"id","gender","overall6","address2","lcpoints","lcmaths","mathlev1","lcphysic","havephy","lcchem","havechem","lcappmth","haveappm","lcenr","haveenr","lcpch","havepch","lctdr","havetdr","caochc2","core1","core2","core3","award"
97,1,1,2,400,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
98,1,1,2,385,55,2,0,1,NA,0,NA,0,80,1,0,1,70,1,1,"maths","mech","engsci",1
99,0,1,3,415,40,1,55,1,NA,0,NA,0,85,1,NA,0,NA,0,1,"maths","mech","engsci",1
100,1,1,3,410,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,100,1,1,"maths","mech","engsci",1
101,1,1,3,395,45,2,45,1,NA,0,NA,0,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
102,1,1,3,365,55,2,NA,0,NA,0,NA,0,NA,0,80,1,NA,0,1,"maths","mech","engsci",1
103,1,1,3,380,55,2,70,1,NA,0,NA,0,NA,0,NA,0,65,1,1,"maths","mech","engsci",1
104,1,1,2,440,60,1,NA,0,NA,0,NA,0,NA,0,75,1,90,1,1,"maths","mech","engsci",1
105,0,1,1,195,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
106,1,1,2,390,50,1,70,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
107,1,1,3,370,25,1,NA,0,NA,0,NA,0,75,1,NA,0,NA,0,1,"maths","mech","engsci",1
108,1,1,2,405,50,2,65,1,NA,0,55,1,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
109,1,1,3,415,80,2,60,1,NA,0,NA,0,NA,0,NA,0,90,1,1,"maths","mech","engsci",1
110,1,1,2,400,60,2,NA,0,NA,0,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
111,1,1,1,310,45,1,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
112,1,1,2,355,45,2,45,1,NA,0,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
113,1,1,2,425,45,2,NA,0,NA,0,NA,0,NA,0,NA,0,70,1,1,"maths","mech","engsci",1
114,1,1,3,400,70,2,NA,0,65,1,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
115,1,1,2,370,65,2,NA,0,NA,0,50,1,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
116,1,1,3,350,65,2,50,1,NA,0,NA,0,NA,0,NA,0,55,1,1,"maths","mech","engsci",1
117,1,1,3,390,80,2,50,1,NA,0,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
118,0,0,2,330,50,2,NA,0,NA,0,NA,0,NA,0,50,1,NA,0,1,"maths","mech","engsci",1
119,1,0,3,295,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,55,1,2,"maths","mech","engsci",1
120,1,0,1,300,5,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
121,1,0,1,295,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,45,1,3,"maths","mech","engsci",1
122,1,0,3,290,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
123,1,0,2,235,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
124,1,0,2,315,10,1,NA,0,NA,0,NA,0,75,1,NA,0,NA,0,1,"maths","mech","engsci",1
